ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2025
14_300_3039_4_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,,Battery Electric Vehicle,km,kg CO2e,0.00401
14_300_3039_4_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.00395
14_300_3039_4_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,0.00002
14_300_3039_4_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,,Battery Electric Vehicle,km,kg CO2e of N2O per unit,0.00004
14_300_3038_9_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.00222
14_300_3038_9_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00218
14_300_3038_9_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,0.00001
14_300_3038_9_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of N2O per unit,0.00003
14_300_3039_9_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,,Battery Electric Vehicle,miles,kg CO2e,0.00645
14_300_3039_9_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00636
14_300_3039_9_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,,Battery Electric Vehicle,miles,kg CO2e of CH4 per unit,0.00003
14_300_3039_9_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),Dual purpose 4X4,,Battery Electric Vehicle,miles,kg CO2e of N2O per unit,0.00005
14_300_3043_4_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.00174
14_300_3043_4_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.00171
14_300_3043_4_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,0.00001
14_300_3043_4_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,0.00002
14_300_3044_4_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,,Battery Electric Vehicle,km,kg CO2e,0.00493
14_300_3044_4_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.00487
14_300_3044_4_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,0.00002
14_300_3044_4_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,,Battery Electric Vehicle,km,kg CO2e of N2O per unit,0.00004
14_300_3043_9_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.00282
14_300_3043_9_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00276
14_300_3043_9_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,0.00002
14_300_3043_9_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of N2O per unit,0.00004
14_300_3044_9_1,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,,Battery Electric Vehicle,miles,kg CO2e,0.00793
14_300_3044_9_2,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,,Battery Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00784
14_300_3044_9_3,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,,Battery Electric Vehicle,miles,kg CO2e of CH4 per unit,0.00003
14_300_3044_9_4,Scope 3,UK electricity T&D for EVs,Cars (by market segment),MPV,,Battery Electric Vehicle,miles,kg CO2e of N2O per unit,0.00005
14_301_3051_4_1,Scope 3,UK electricity T&D for EVs,Cars (by size),Small car,,Plug-in Hybrid Electric Vehicle,km,kg CO2e,0.00252
14_301_3051_4_2,Scope 3,UK electricity T&D for EVs,Cars (by size),Small car,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CO2 per unit,0.00249
14_301_3051_4_3,Scope 3,UK electricity T&D for EVs,Cars (by size),Small car,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of CH4 per unit,0.00001
14_301_3051_4_4,Scope 3,UK electricity T&D for EVs,Cars (by size),Small car,,Plug-in Hybrid Electric Vehicle,km,kg CO2e of N2O per unit,0.00002
14_301_3052_4_1,Scope 3,UK electricity T&D for EVs,Cars (by size),Small car,,Battery Electric Vehicle,km,kg CO2e,0.00349
14_301_3052_4_2,Scope 3,UK electricity T&D for EVs,Cars (by size),Small car,,Battery Electric Vehicle,km,kg CO2e of CO2 per unit,0.00346
14_301_3052_4_3,Scope 3,UK electricity T&D for EVs,Cars (by size),Small car,,Battery Electric Vehicle,km,kg CO2e of CH4 per unit,0.00001
14_301_3052_4_4,Scope 3,UK electricity T&D for EVs,Cars (by size),Small car,,Battery Electric Vehicle,km,kg CO2e of N2O per unit,0.00002
14_301_3051_9_1,Scope 3,UK electricity T&D for EVs,Cars (by size),Small car,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e,0.00406
14_301_3051_9_2,Scope 3,UK electricity T&D for EVs,Cars (by size),Small car,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CO2 per unit,0.00401
14_301_3051_9_3,Scope 3,UK electricity T&D for EVs,Cars (by size),Small car,,Plug-in Hybrid Electric Vehicle,miles,kg CO2e of CH4 per unit,0.00002
