ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2025
11_101_1018_6_1,Scope 3,WTT- fuels,Liquid fuels,Petrol (100% mineral petrol),,,kWh (Gross CV),kg CO2e,0.06253
11_101_1019_15_1,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - residual oil,,,tonnes,kg CO2e,1132.08149
11_101_1019_8_1,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - residual oil,,,litres,kg CO2e,1.10125
11_101_1019_7_1,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - residual oil,,,kWh (Net CV),kg CO2e,0.09962
11_101_1019_6_1,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - residual oil,,,kWh (Gross CV),kg CO2e,0.09364
11_101_1020_15_1,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - distillate oil,,,tonnes,kg CO2e,1123.49881
11_101_1020_8_1,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - distillate oil,,,litres,kg CO2e,0.9465
11_101_1020_7_1,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - distillate oil,,,kWh (Net CV),kg CO2e,0.09501
11_101_1020_6_1,Scope 3,WTT- fuels,Liquid fuels,Processed fuel oils - distillate oil,,,kWh (Gross CV),kg CO2e,0.08931
11_101_1021_15_1,Scope 3,WTT- fuels,Liquid fuels,Refinery miscellaneous,,,tonnes,kg CO2e,348.98258
11_101_1021_8_1,Scope 3,WTT- fuels,Liquid fuels,Refinery miscellaneous,,,litres,kg CO2e,
11_101_1021_7_1,Scope 3,WTT- fuels,Liquid fuels,Refinery miscellaneous,,,kWh (Net CV),kg CO2e,0.03077
11_101_1021_6_1,Scope 3,WTT- fuels,Liquid fuels,Refinery miscellaneous,,,kWh (Gross CV),kg CO2e,0.02923
11_101_1022_15_1,Scope 3,WTT- fuels,Liquid fuels,Waste oils,,,tonnes,kg CO2e,1116.83712
11_101_1022_8_1,Scope 3,WTT- fuels,Liquid fuels,Waste oils,,,litres,kg CO2e,
11_101_1022_7_1,Scope 3,WTT- fuels,Liquid fuels,Waste oils,,,kWh (Net CV),kg CO2e,0.09526
11_101_1022_6_1,Scope 3,WTT- fuels,Liquid fuels,Waste oils,,,kWh (Gross CV),kg CO2e,0.08895
11_101_1023_15_1,Scope 3,WTT- fuels,Liquid fuels,Marine gas oil,,,tonnes,kg CO2e,743.83524
11_101_1023_8_1,Scope 3,WTT- fuels,Liquid fuels,Marine gas oil,,,litres,kg CO2e,0.62665
11_101_1023_7_1,Scope 3,WTT- fuels,Liquid fuels,Marine gas oil,,,kWh (Net CV),kg CO2e,0.06291
11_101_1023_6_1,Scope 3,WTT- fuels,Liquid fuels,Marine gas oil,,,kWh (Gross CV),kg CO2e,0.05913
11_101_1024_15_1,Scope 3,WTT- fuels,Liquid fuels,Marine fuel oil,,,tonnes,kg CO2e,714.86545
11_101_1024_8_1,Scope 3,WTT- fuels,Liquid fuels,Marine fuel oil,,,litres,kg CO2e,0.69539
11_101_1024_7_1,Scope 3,WTT- fuels,Liquid fuels,Marine fuel oil,,,kWh (Net CV),kg CO2e,0.06291
11_101_1024_6_1,Scope 3,WTT- fuels,Liquid fuels,Marine fuel oil,,,kWh (Gross CV),kg CO2e,0.05913
11_102_1025_15_1,Scope 3,WTT- fuels,Solid fuels,Coal (industrial),,,tonnes,kg CO2e,418.14964
11_102_1025_7_1,Scope 3,WTT- fuels,Solid fuels,Coal (industrial),,,kWh (Net CV),kg CO2e,0.05925
11_102_1025_6_1,Scope 3,WTT- fuels,Solid fuels,Coal (industrial),,,kWh (Gross CV),kg CO2e,0.05629
11_102_1026_15_1,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation),,,tonnes,kg CO2e,390.06647
11_102_1026_7_1,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation),,,kWh (Net CV),kg CO2e,0.05925
11_102_1026_6_1,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation),,,kWh (Gross CV),kg CO2e,0.05629
11_102_1027_15_1,Scope 3,WTT- fuels,Solid fuels,Coal (domestic),,,tonnes,kg CO2e,470.95724
11_102_1027_7_1,Scope 3,WTT- fuels,Solid fuels,Coal (domestic),,,kWh (Net CV),kg CO2e,0.05925
11_102_1027_6_1,Scope 3,WTT- fuels,Solid fuels,Coal (domestic),,,kWh (Gross CV),kg CO2e,0.05629
11_102_1028_15_1,Scope 3,WTT- fuels,Solid fuels,Coking coal,,,tonnes,kg CO2e,497.73658
11_102_1028_7_1,Scope 3,WTT- fuels,Solid fuels,Coking coal,,,kWh (Net CV),kg CO2e,0.05925
11_102_1028_6_1,Scope 3,WTT- fuels,Solid fuels,Coking coal,,,kWh (Gross CV),kg CO2e,0.05629
11_102_1029_15_1,Scope 3,WTT- fuels,Solid fuels,Petroleum coke,,,tonnes,kg CO2e,402.62468
11_102_1029_7_1,Scope 3,WTT- fuels,Solid fuels,Petroleum coke,,,kWh (Net CV),kg CO2e,0.04267
11_102_1029_6_1,Scope 3,WTT- fuels,Solid fuels,Petroleum coke,,,kWh (Gross CV),kg CO2e,0.04053
11_102_1030_15_1,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation - home produced coal only),,,tonnes,kg CO2e,389.45704
11_102_1030_7_1,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation - home produced coal only),,,kWh (Net CV),kg CO2e,0.05925
11_102_1030_6_1,Scope 3,WTT- fuels,Solid fuels,Coal (electricity generation - home produced coal only),,,kWh (Gross CV),kg CO2e,0.05629
