ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2025
19_503_5098_15_1,Scope 3,Material use,Electrical items,Batteries - Li ion,,Open-loop source,tonnes,kg CO2e,
19_503_5099_15_1,Scope 3,Material use,Electrical items,Batteries - Li ion,,Closed-loop source,tonnes,kg CO2e,
19_503_5100_15_1,Scope 3,Material use,Electrical items,Batteries - NiMh,,Primary material production,tonnes,kg CO2e,28380
19_503_5101_15_1,Scope 3,Material use,Electrical items,Batteries - NiMh,,Re-used,tonnes,kg CO2e,
19_503_5102_15_1,Scope 3,Material use,Electrical items,Batteries - NiMh,,Open-loop source,tonnes,kg CO2e,
19_503_5103_15_1,Scope 3,Material use,Electrical items,Batteries - NiMh,,Closed-loop source,tonnes,kg CO2e,
19_504_5104_15_1,Scope 3,Material use,Metal,Metal: aluminium cans and foil (excl. forming),,Primary material production,tonnes,kg CO2e,9115.90131
19_504_5105_15_1,Scope 3,Material use,Metal,Metal: aluminium cans and foil (excl. forming),,Re-used,tonnes,kg CO2e,
19_504_5106_15_1,Scope 3,Material use,Metal,Metal: aluminium cans and foil (excl. forming),,Open-loop source,tonnes,kg CO2e,
19_504_5107_15_1,Scope 3,Material use,Metal,Metal: aluminium cans and foil (excl. forming),,Closed-loop source,tonnes,kg CO2e,995.0779
19_504_5108_15_1,Scope 3,Material use,Metal,Metal: mixed cans,,Primary material production,tonnes,kg CO2e,5114.62131
19_504_5109_15_1,Scope 3,Material use,Metal,Metal: mixed cans,,Re-used,tonnes,kg CO2e,
19_504_5110_15_1,Scope 3,Material use,Metal,Metal: mixed cans,,Open-loop source,tonnes,kg CO2e,
19_504_5111_15_1,Scope 3,Material use,Metal,Metal: mixed cans,,Closed-loop source,tonnes,kg CO2e,1525.52488
19_504_5112_15_1,Scope 3,Material use,Metal,Metal: scrap metal,,Primary material production,tonnes,kg CO2e,3473.11953
19_504_5113_15_1,Scope 3,Material use,Metal,Metal: scrap metal,,Re-used,tonnes,kg CO2e,
19_504_5114_15_1,Scope 3,Material use,Metal,Metal: scrap metal,,Open-loop source,tonnes,kg CO2e,
19_504_5115_15_1,Scope 3,Material use,Metal,Metal: scrap metal,,Closed-loop source,tonnes,kg CO2e,1706.42359
19_504_5116_15_1,Scope 3,Material use,Metal,Metal: steel cans,,Primary material production,tonnes,kg CO2e,2863.90131
19_504_5117_15_1,Scope 3,Material use,Metal,Metal: steel cans,,Re-used,tonnes,kg CO2e,
19_504_5118_15_1,Scope 3,Material use,Metal,Metal: steel cans,,Open-loop source,tonnes,kg CO2e,
19_504_5119_15_1,Scope 3,Material use,Metal,Metal: steel cans,,Closed-loop source,tonnes,kg CO2e,1823.90131
19_505_5120_15_1,Scope 3,Material use,Plastic,Plastics: average plastics,,Primary material production,tonnes,kg CO2e,3172.49932
19_505_5121_15_1,Scope 3,Material use,Plastic,Plastics: average plastics,,Re-used,tonnes,kg CO2e,
19_505_5122_15_1,Scope 3,Material use,Plastic,Plastics: average plastics,,Open-loop source,tonnes,kg CO2e,
19_505_5123_15_1,Scope 3,Material use,Plastic,Plastics: average plastics,,Closed-loop source,tonnes,kg CO2e,1575.39106
19_505_5124_15_1,Scope 3,Material use,Plastic,Plastics: average plastic film,,Primary material production,tonnes,kg CO2e,2916.50513
19_505_5125_15_1,Scope 3,Material use,Plastic,Plastics: average plastic film,,Re-used,tonnes,kg CO2e,
19_505_5126_15_1,Scope 3,Material use,Plastic,Plastics: average plastic film,,Open-loop source,tonnes,kg CO2e,
19_505_5127_15_1,Scope 3,Material use,Plastic,Plastics: average plastic film,,Closed-loop source,tonnes,kg CO2e,1103.56537
19_505_5128_15_1,Scope 3,Material use,Plastic,Plastics: average plastic rigid,,Primary material production,tonnes,kg CO2e,3354.28062
19_505_5129_15_1,Scope 3,Material use,Plastic,Plastics: average plastic rigid,,Re-used,tonnes,kg CO2e,
19_505_5130_15_1,Scope 3,Material use,Plastic,Plastics: average plastic rigid,,Open-loop source,tonnes,kg CO2e,
19_505_5131_15_1,Scope 3,Material use,Plastic,Plastics: average plastic rigid,,Closed-loop source,tonnes,kg CO2e,1915.72549
19_505_5132_15_1,Scope 3,Material use,Plastic,Plastics: HDPE (incl. forming),,Primary material production,tonnes,kg CO2e,3095.15524
19_505_5133_15_1,Scope 3,Material use,Plastic,Plastics: HDPE (incl. forming),,Re-used,tonnes,kg CO2e,
19_505_5134_15_1,Scope 3,Material use,Plastic,Plastics: HDPE (incl. forming),,Open-loop source,tonnes,kg CO2e,
19_505_5135_15_1,Scope 3,Material use,Plastic,Plastics: HDPE (incl. forming),,Closed-loop source,tonnes,kg CO2e,1770.79099
19_505_5136_15_1,Scope 3,Material use,Plastic,Plastics: LDPE and LLDPE (incl. forming),,Primary material production,tonnes,kg CO2e,2965.0779
19_505_5137_15_1,Scope 3,Material use,Plastic,Plastics: LDPE and LLDPE (incl. forming),,Re-used,tonnes,kg CO2e,
19_505_5138_15_1,Scope 3,Material use,Plastic,Plastics: LDPE and LLDPE (incl. forming),,Open-loop source,tonnes,kg CO2e,
19_505_5139_15_1,Scope 3,Material use,Plastic,Plastics: LDPE and LLDPE (incl. forming),,Closed-loop source,tonnes,kg CO2e,1097.90131
19_505_5140_15_1,Scope 3,Material use,Plastic,Plastics: PET (incl. forming),,Primary material production,tonnes,kg CO2e,3863.90131
19_505_5141_15_1,Scope 3,Material use,Plastic,Plastics: PET (incl. forming),,Re-used,tonnes,kg CO2e,
19_505_5142_15_1,Scope 3,Material use,Plastic,Plastics: PET (incl. forming),,Open-loop source,tonnes,kg CO2e,
19_505_5143_15_1,Scope 3,Material use,Plastic,Plastics: PET (incl. forming),,Closed-loop source,tonnes,kg CO2e,2213.90131
19_505_5144_15_1,Scope 3,Material use,Plastic,Plastics: PP (incl. forming),,Primary material production,tonnes,kg CO2e,2577.57172
19_505_5145_15_1,Scope 3,Material use,Plastic,Plastics: PP (incl. forming),,Re-used,tonnes,kg CO2e,
19_505_5146_15_1,Scope 3,Material use,Plastic,Plastics: PP (incl. forming),,Open-loop source,tonnes,kg CO2e,
19_505_5147_15_1,Scope 3,Material use,Plastic,Plastics: PP (incl. forming),,Closed-loop source,tonnes,kg CO2e,1312.57172
19_505_5148_15_1,Scope 3,Material use,Plastic,Plastics: PS (incl. forming),,Primary material production,tonnes,kg CO2e,4376.80391
19_505_5149_15_1,Scope 3,Material use,Plastic,Plastics: PS (incl. forming),,Re-used,tonnes,kg CO2e,
19_505_5150_15_1,Scope 3,Material use,Plastic,Plastics: PS (incl. forming),,Open-loop source,tonnes,kg CO2e,
19_505_5151_15_1,Scope 3,Material use,Plastic,Plastics: PS (incl. forming),,Closed-loop source,tonnes,kg CO2e,2669.76255
19_505_5152_15_1,Scope 3,Material use,Plastic,Plastics: PVC (incl. forming),,Primary material production,tonnes,kg CO2e,2944.75615
